Date;greenpeace.org;amnesty.org;peta.org;redcross.org;unicef.org
01.03.15;181;283;137;273;174
02.03.15;180;288;151;314;157
03.03.15;184;278;156;341;182
04.03.15;193;268;148;380;190
05.03.15;184;241;161;340;212
06.03.15;150;213;145;300;223
07.03.15;132;184;141;292;215
08.03.15;127;158;135;272;197
09.03.15;135;144;148;271;181
10.03.15;153;150;166;299;204
11.03.15;189;183;161;335;205
12.03.15;189;165;162;347;191
13.03.15;186;169;152;324;185
14.03.15;183;173;155;336;167
15.03.15;170;163;156;335;171
16.03.15;159;157;177;336;177
17.03.15;166;149;162;368;210
18.03.15;173;134;159;409;220
19.03.15;169;118;156;387;193
20.03.15;149;116;148;329;209
21.03.15;125;134;156;297;189
22.03.15;115;112;181;281;184
23.03.15;129;100;165;267;175
24.03.15;165;105;165;296;176
25.03.15;183;123;167;332;169
26.03.15;185;143;170;305;202
27.03.15;166;164;179;280;252
28.03.15;142;194;203;266;285
29.03.15;136;213;184;268;277
30.03.15;164;221;168;286;238
31.03.15;141;232;144;317;223
01.04.15;157;236;168;348;232
02.04.15;146;229;214;303;230
03.04.15;172;220;203;277;231
04.04.15;195;193;141;288;191
05.04.15;192;185;138;285;171
06.04.15;203;137;170;329;193
